usv_timestamp,vehicle_code,battery_voltage,battery_current,battery_percentage,rssi,mode,latitude,longitude,altitude,heading,armed,gps_ok,system_status,speed,roll,pitch,yaw,temperature_system,mqtt_publish_timestamp
2026-04-17T23:49:56.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.5,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:49:56.305
2026-04-17T23:49:57.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:49:57.304
2026-04-17T23:49:58.301Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:49:58.304
2026-04-17T23:49:59.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:49:59.304
2026-04-17T23:50:00.301Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:00.304
2026-04-17T23:50:01.301Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:01.304
2026-04-17T23:50:02.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:02.305
2026-04-17T23:50:03.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:03.304
2026-04-17T23:50:04.301Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.3,False,False,OK,0.0,-0.6,-1.9,123.3,0.0,2026-04-18T06:50:04.304
2026-04-17T23:50:05.301Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:05.304
2026-04-17T23:50:06.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.8,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:06.305
2026-04-17T23:50:07.301Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:07.304
2026-04-17T23:50:08.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.3,False,False,OK,0.0,-0.5,-1.9,123.3,0.0,2026-04-18T06:50:08.304
