command_received_timestamp,vehicle_code,command,mavlink_sent_timestamp,execution_result,execution_message,command_response_timestamp,duration_ms
2026-04-24T05:12:15.829,USV-001,ARM,2026-04-24T05:12:15.835,SUCCESS,ARM successful,2026-04-24T05:12:15.859,30
2026-04-24T05:24:28.237,USV-001,DISARM,2026-04-24T05:24:28.248,SUCCESS,DISARM successful,2026-04-24T05:24:28.489,252
2026-04-24T05:24:30.043,USV-001,ARM,2026-04-24T05:24:30.053,SUCCESS,ARM successful,2026-04-24T05:24:30.260,217
2026-04-24T05:36:10.735,USV-001,DISARM,,FAILED,MAVROS service unavailable,2026-04-24T05:36:15.780,5045
2026-04-24T05:37:01.669,USV-001,DISARM,,FAILED,MAVROS service unavailable,2026-04-24T05:37:06.714,5045
2026-04-24T05:42:20.476,USV-001,ARM,2026-04-24T05:42:20.486,SUCCESS,ARM successful,2026-04-24T05:42:20.500,24
2026-04-24T05:42:24.278,USV-001,ARM,2026-04-24T05:42:24.289,SUCCESS,ARM successful,2026-04-24T05:42:24.302,24
2026-04-24T05:42:32.113,USV-001,ARM,2026-04-24T05:42:32.121,SUCCESS,ARM successful,2026-04-24T05:42:32.134,21
2026-04-24T05:43:10.257,USV-001,ARM,2026-04-24T05:43:10.266,SUCCESS,ARM successful,2026-04-24T05:43:10.276,19
2026-04-24T05:43:41.138,USV-001,ARM,2026-04-24T05:43:41.147,SUCCESS,ARM successful,2026-04-24T05:43:41.155,17
2026-04-24T05:54:43.513,USV-001,ARM,2026-04-24T05:54:43.524,SUCCESS,ARM successful,2026-04-24T05:54:43.539,26
2026-04-24T05:54:46.083,USV-001,ARM,2026-04-24T05:54:46.095,SUCCESS,ARM successful,2026-04-24T05:54:46.106,23
2026-04-24T05:55:37.049,USV-001,ARM,2026-04-24T05:55:37.058,SUCCESS,ARM successful,2026-04-24T05:55:37.068,19
2026-04-24T05:55:39.619,USV-001,ARM,2026-04-24T05:55:39.631,SUCCESS,ARM successful,2026-04-24T05:55:39.645,26
2026-04-24T06:00:48.213,USV-001,ARM,2026-04-24T06:00:48.222,SUCCESS,ARM successful,2026-04-24T06:00:48.232,19
2026-04-24T06:04:32.591,USV-001,DISARM,2026-04-24T06:04:32.602,SUCCESS,DISARM successful,2026-04-24T06:04:32.624,33
2026-04-24T06:04:37.181,USV-001,ARM,2026-04-24T06:04:37.187,SUCCESS,ARM successful,2026-04-24T06:04:37.229,48
2026-04-24T06:15:42.245,USV-001,DISARM,2026-04-24T06:15:42.249,SUCCESS,DISARM successful,2026-04-24T06:15:42.770,525
2026-04-24T06:22:48.568,USV-001,ARM,2026-04-24T06:22:48.579,SUCCESS,ARM successful,2026-04-24T06:22:48.601,33
2026-04-24T06:27:27.970,USV-001,AUTO,2026-04-24T06:27:27.980,SUCCESS,Mode changed to AUTO,2026-04-24T06:27:27.995,25
2026-04-24T06:27:34.983,USV-001,DISARM,2026-04-24T06:27:34.992,SUCCESS,DISARM successful,2026-04-24T06:27:35.020,37
2026-04-24T06:27:42.460,USV-001,AUTO,2026-04-24T06:27:42.469,SUCCESS,Mode changed to AUTO,2026-04-24T06:27:42.482,22
2026-04-24T06:27:53.271,USV-001,MANUAL,2026-04-24T06:27:53.280,SUCCESS,Mode changed to MANUAL,2026-04-24T06:27:53.297,26
2026-04-24T06:28:05.031,USV-001,ARM,2026-04-24T06:28:05.041,SUCCESS,ARM successful,2026-04-24T06:28:05.061,30
2026-04-24T08:32:49.050,USV-001,ARM,2026-04-24T08:32:49.061,SUCCESS,ARM successful,2026-04-24T08:32:49.078,28
2026-04-24T08:33:12.979,USV-001,DISARM,2026-04-24T08:33:12.989,SUCCESS,DISARM successful,2026-04-24T08:33:13.016,37
2026-04-24T08:33:17.332,USV-001,ARM,2026-04-24T08:33:17.341,SUCCESS,ARM successful,2026-04-24T08:33:17.375,43
2026-04-24T08:33:49.322,USV-001,DISARM,2026-04-24T08:33:49.330,SUCCESS,DISARM successful,2026-04-24T08:33:49.355,33
2026-04-24T08:33:52.457,USV-001,ARM,2026-04-24T08:33:52.466,SUCCESS,ARM successful,2026-04-24T08:33:52.495,38
2026-04-24T08:34:40.845,USV-001,DISARM,2026-04-24T08:34:40.854,SUCCESS,DISARM successful,2026-04-24T08:34:40.871,26
