command_received_timestamp,vehicle_code,command,mavlink_sent_timestamp,execution_result,execution_message,command_response_timestamp,duration_ms
2026-04-14T16:05:43.944,USV-001,ARM,2026-04-14T16:05:43.954,FAILED,ARM failed: code 4,2026-04-14T16:05:43.992,48
2026-04-14T16:05:46.581,USV-001,FORCE_ARM,2026-04-14T16:05:46.590,SUCCESS,FORCE_ARM successful,2026-04-14T16:05:46.611,30
2026-04-14T16:07:45.615,USV-001,DISARM,2026-04-14T16:07:45.624,SUCCESS,DISARM successful,2026-04-14T16:07:45.649,34
2026-04-14T16:14:35.564,USV-001,ARM,2026-04-14T16:14:35.574,FAILED,ARM failed: code 4,2026-04-14T16:14:35.608,44
2026-04-14T16:14:38.676,USV-001,FORCE_ARM,2026-04-14T16:14:38.685,SUCCESS,FORCE_ARM successful,2026-04-14T16:14:38.728,52
2026-04-14T17:24:48.308,USV-001,ARM,2026-04-14T17:24:48.314,SUCCESS,ARM successful,2026-04-14T17:24:48.360,52
2026-04-14T17:25:02.820,USV-001,DISARM,2026-04-14T17:25:02.829,SUCCESS,DISARM successful,2026-04-14T17:25:02.866,46
2026-04-14T17:34:49.040,USV-001,ARM,2026-04-14T17:34:49.049,SUCCESS,ARM successful,2026-04-14T17:34:49.082,42
2026-04-14T17:40:40.203,USV-001,ARM,2026-04-14T17:40:40.208,SUCCESS,ARM successful,2026-04-14T17:40:40.255,52
2026-04-14T18:30:05.826,USV-001,ARM,2026-04-14T18:30:05.836,SUCCESS,ARM successful,2026-04-14T18:30:05.885,59
2026-04-14T20:58:54.951,USV-001,ARM,2026-04-14T20:58:54.960,FAILED,ARM failed: code 4,2026-04-14T20:58:54.983,32
2026-04-14T20:58:57.282,USV-001,FORCE_ARM,2026-04-14T20:58:57.290,SUCCESS,FORCE_ARM successful,2026-04-14T20:58:57.325,43
2026-04-14T21:57:33.020,USV-001,FORCE_ARM,2026-04-14T21:57:33.023,SUCCESS,FORCE_ARM successful,2026-04-14T21:57:33.028,8
2026-04-14T21:59:22.363,USV-001,ARM,2026-04-14T21:59:22.366,FAILED,ARM failed: code 4,2026-04-14T21:59:22.383,20
2026-04-14T21:59:25.810,USV-001,FORCE_ARM,2026-04-14T21:59:25.813,SUCCESS,FORCE_ARM successful,2026-04-14T21:59:25.854,44
2026-04-14T22:00:18.550,USV-001,DISARM,2026-04-14T22:00:18.553,SUCCESS,DISARM successful,2026-04-14T22:00:18.582,32
