command_received_timestamp,vehicle_code,command,mavlink_sent_timestamp,execution_result,execution_message,command_response_timestamp,duration_ms
2026-04-10T14:00:04.905,USV-001,ARM,2026-04-10T14:00:04.914,SUCCESS,ARM successful,2026-04-10T14:00:04.976,71
2026-04-10T14:20:38.997,USV-001,DISARM,2026-04-10T14:20:39.009,SUCCESS,DISARM successful,2026-04-10T14:20:39.035,38
2026-04-10T14:20:42.192,USV-001,ARM,2026-04-10T14:20:42.201,SUCCESS,ARM successful,2026-04-10T14:20:42.236,44
2026-04-10T14:36:09.137,USV-001,DISARM,2026-04-10T14:36:09.147,SUCCESS,DISARM successful,2026-04-10T14:36:09.184,47
2026-04-10T14:36:13.172,USV-001,AUTO,2026-04-10T14:36:13.181,SUCCESS,Mode changed to AUTO,2026-04-10T14:36:13.193,21
2026-04-10T14:36:21.325,USV-001,ARM,2026-04-10T14:36:21.330,FAILED,ARM failed: code 4,2026-04-10T14:36:21.370,45
2026-04-10T14:36:22.362,USV-001,FORCE_ARM,2026-04-10T14:36:22.372,SUCCESS,FORCE_ARM successful,2026-04-10T14:36:22.403,41
2026-04-10T14:37:07.708,USV-001,DISARM,2026-04-10T14:37:07.718,SUCCESS,DISARM successful,2026-04-10T14:37:07.743,35
2026-04-10T14:55:28.123,USV-001,ARM,2026-04-10T14:55:28.134,SUCCESS,ARM successful,2026-04-10T14:55:28.201,78
2026-04-10T15:00:43.778,USV-001,DISARM,2026-04-10T15:00:43.781,SUCCESS,DISARM successful,2026-04-10T15:00:43.810,32
2026-04-10T15:00:48.577,USV-001,ARM,2026-04-10T15:00:48.580,SUCCESS,ARM successful,2026-04-10T15:00:48.612,35
2026-04-10T15:01:36.641,USV-001,DISARM,2026-04-10T15:01:36.652,SUCCESS,DISARM successful,2026-04-10T15:01:36.672,31
2026-04-10T15:01:40.507,USV-001,AUTO,2026-04-10T15:01:40.516,SUCCESS,Mode changed to AUTO,2026-04-10T15:01:40.543,36
2026-04-10T15:16:04.917,USV-001,DISARM,2026-04-10T15:16:04.922,SUCCESS,DISARM successful,2026-04-10T15:16:04.942,25
2026-04-10T15:16:06.818,USV-001,ARM,2026-04-10T15:16:06.826,SUCCESS,ARM successful,2026-04-10T15:16:06.863,45
2026-04-10T15:16:22.015,USV-001,AUTO,2026-04-10T15:16:22.018,SUCCESS,Mode changed to AUTO,2026-04-10T15:16:22.025,10
2026-04-10T15:16:26.361,USV-001,MANUAL,2026-04-10T15:16:26.364,SUCCESS,Mode changed to MANUAL,2026-04-10T15:16:26.369,8
2026-04-10T18:06:22.521,USV-001,ARM,,FAILED,MAVROS service unavailable,2026-04-10T18:06:27.567,5046
2026-04-10T18:08:21.611,USV-001,ARM,,FAILED,MAVROS service unavailable,2026-04-10T18:08:26.651,5040
2026-04-10T18:18:17.928,USV-001,ARM,2026-04-10T18:18:17.934,FAILED,ARM failed: code 4,2026-04-10T18:18:18.276,348
2026-04-10T18:20:43.400,USV-001,ARM,2026-04-10T18:20:43.404,SUCCESS,ARM successful,2026-04-10T18:20:43.419,19
2026-04-10T18:20:47.635,USV-001,ARM,2026-04-10T18:20:47.645,FAILED,ARM failed: code 4,2026-04-10T18:20:47.676,41
2026-04-10T18:20:52.362,USV-001,ARM,2026-04-10T18:20:52.372,FAILED,ARM failed: code 4,2026-04-10T18:20:52.396,34
2026-04-10T18:20:55.430,USV-001,ARM,2026-04-10T18:20:55.433,FAILED,ARM failed: code 4,2026-04-10T18:20:55.545,115
2026-04-10T18:20:58.365,USV-001,FORCE_ARM,2026-04-10T18:20:58.371,SUCCESS,FORCE_ARM successful,2026-04-10T18:20:58.405,40
2026-04-10T18:21:30.849,USV-001,AUTO,2026-04-10T18:21:30.861,SUCCESS,Mode changed to AUTO,2026-04-10T18:21:30.883,34
2026-04-10T18:21:37.049,USV-001,AUTO,2026-04-10T18:21:37.061,SUCCESS,Mode changed to AUTO,2026-04-10T18:21:37.080,31
2026-04-10T18:21:46.863,USV-001,HOLD,2026-04-10T18:21:46.872,SUCCESS,Mode changed to HOLD,2026-04-10T18:21:46.889,26
2026-04-10T18:21:50.095,USV-001,AUTO,2026-04-10T18:21:50.104,SUCCESS,Mode changed to AUTO,2026-04-10T18:21:50.114,19
2026-04-10T18:21:52.983,USV-001,MANUAL,2026-04-10T18:21:52.998,SUCCESS,Mode changed to MANUAL,2026-04-10T18:21:53.021,38
2026-04-10T18:22:30.748,USV-001,DISARM,2026-04-10T18:22:30.759,SUCCESS,DISARM successful,2026-04-10T18:22:30.797,49
2026-04-10T19:01:10.769,USV-001,ARM,2026-04-10T19:01:10.781,FAILED,ARM failed: code 4,2026-04-10T19:01:10.808,39
2026-04-10T19:21:48.019,USV-001,ARM,2026-04-10T19:21:48.032,FAILED,ARM failed: code 4,2026-04-10T19:21:48.067,48
2026-04-10T19:21:49.074,USV-001,FORCE_ARM,2026-04-10T19:21:49.084,SUCCESS,FORCE_ARM successful,2026-04-10T19:21:49.108,34
