command_received_timestamp,vehicle_code,command,mavlink_sent_timestamp,execution_result,execution_message,command_response_timestamp,duration_ms
2026-04-19T12:15:10.915,USV-001,ARM,2026-04-19T12:15:10.925,SUCCESS,ARM successful,2026-04-19T12:15:10.968,53
2026-04-19T12:15:17.424,USV-001,DISARM,2026-04-19T12:15:17.434,SUCCESS,DISARM successful,2026-04-19T12:15:17.447,23
2026-04-19T13:03:17.546,USV-001,ARM,2026-04-19T13:03:17.555,SUCCESS,ARM successful,2026-04-19T13:03:17.577,31
2026-04-19T13:03:32.279,USV-001,DISARM,2026-04-19T13:03:32.288,SUCCESS,DISARM successful,2026-04-19T13:03:32.315,36
