command_received_timestamp,vehicle_code,command,mavlink_sent_timestamp,execution_result,execution_message,command_response_timestamp,duration_ms
2026-04-17T04:12:55.149,USV-001,ARM,2026-04-17T04:12:55.158,FAILED,ARM failed: code 4,2026-04-17T04:12:55.195,46
2026-04-17T04:20:05.933,USV-001,ARM,2026-04-17T04:20:05.943,FAILED,ARM failed: code 4,2026-04-17T04:20:05.967,34
2026-04-17T10:18:42.366,USV-001,AUTO,2026-04-17T10:18:42.376,SUCCESS,Mode changed to AUTO,2026-04-17T10:18:42.390,24
2026-04-17T10:19:06.233,USV-001,ARM,2026-04-17T10:19:06.245,FAILED,ARM failed: code 4,2026-04-17T10:19:06.279,46
2026-04-17T10:19:08.671,USV-001,FORCE_ARM,2026-04-17T10:19:08.682,SUCCESS,FORCE_ARM successful,2026-04-17T10:19:08.723,52
2026-04-17T10:19:28.119,USV-001,MANUAL,2026-04-17T10:19:28.129,SUCCESS,Mode changed to MANUAL,2026-04-17T10:19:28.143,24
2026-04-17T10:21:14.622,USV-001,DISARM,2026-04-17T10:21:14.631,SUCCESS,DISARM successful,2026-04-17T10:21:14.658,36
2026-04-17T10:22:49.531,USV-001,ARM,2026-04-17T10:22:49.543,FAILED,ARM failed: code 4,2026-04-17T10:22:49.577,46
2026-04-17T10:22:50.513,USV-001,FORCE_ARM,2026-04-17T10:22:50.523,SUCCESS,FORCE_ARM successful,2026-04-17T10:22:50.558,45
2026-04-17T10:54:03.277,USV-001,AUTO,2026-04-17T10:54:03.287,SUCCESS,Mode changed to AUTO,2026-04-17T10:54:03.298,21
2026-04-17T10:54:09.675,USV-001,DISARM,2026-04-17T10:54:09.685,SUCCESS,DISARM successful,2026-04-17T10:54:09.712,37
2026-04-17T10:54:13.940,USV-001,DISARM,2026-04-17T10:54:13.949,SUCCESS,DISARM successful,2026-04-17T10:54:13.972,32
2026-04-17T10:54:20.330,USV-001,ARM,2026-04-17T10:54:20.340,FAILED,ARM failed: code 4,2026-04-17T10:54:20.369,39
2026-04-17T10:54:47.988,USV-001,ARM,2026-04-17T10:54:47.997,FAILED,ARM failed: code 4,2026-04-17T10:54:48.033,45
2026-04-17T10:54:54.368,USV-001,ARM,2026-04-17T10:54:54.371,FAILED,ARM failed: code 4,2026-04-17T10:54:54.391,23
2026-04-17T10:55:02.891,USV-001,ARM,2026-04-17T10:55:02.901,FAILED,ARM failed: code 4,2026-04-17T10:55:02.933,42
2026-04-17T10:55:11.408,USV-001,ARM,2026-04-17T10:55:11.417,FAILED,ARM failed: code 4,2026-04-17T10:55:11.453,45
2026-04-17T10:56:34.497,USV-001,ARM,2026-04-17T10:56:34.506,FAILED,ARM failed: code 4,2026-04-17T10:56:34.534,37
2026-04-17T11:05:37.288,USV-001,ARM,2026-04-17T11:05:37.297,FAILED,ARM failed: code 4,2026-04-17T11:05:37.313,25
2026-04-17T11:05:41.545,USV-001,FORCE_ARM,2026-04-17T11:05:41.555,SUCCESS,FORCE_ARM successful,2026-04-17T11:05:41.574,29
2026-04-17T11:05:47.953,USV-001,AUTO,2026-04-17T11:05:47.962,SUCCESS,Mode changed to AUTO,2026-04-17T11:05:47.973,20
2026-04-17T10:55:33.062,USV-001,AUTO,2026-04-17T10:55:34.320,FAILED,Mode change to AUTO failed,2026-04-17T10:55:34.328,1266
2026-04-17T17:54:29.267,USV-001,AUTO,2026-04-17T17:54:29.270,SUCCESS,Mode changed to AUTO,2026-04-17T17:54:29.274,7
2026-04-17T21:59:22.150,USV-001,AUTO,2026-04-17T21:59:22.152,SUCCESS,Mode changed to AUTO,2026-04-17T21:59:22.158,8
2026-04-17T22:09:53.829,USV-001,AUTO,2026-04-17T22:09:53.839,SUCCESS,Mode changed to AUTO,2026-04-17T22:09:53.862,33
