command_received_timestamp,vehicle_code,command,mavlink_sent_timestamp,execution_result,execution_message,command_response_timestamp,duration_ms
2026-04-18T06:50:45.413,USV-001,ARM,2026-04-18T06:50:45.424,FAILED,ARM failed: code 4,2026-04-18T06:50:45.459,46
2026-04-18T06:50:50.030,USV-001,FORCE_ARM,2026-04-18T06:50:50.040,SUCCESS,FORCE_ARM successful,2026-04-18T06:50:50.077,47
2026-04-18T06:50:56.904,USV-001,MANUAL,2026-04-18T06:50:56.914,SUCCESS,Mode changed to MANUAL,2026-04-18T06:50:56.926,22
2026-04-18T06:51:01.526,USV-001,MANUAL,2026-04-18T06:51:01.535,SUCCESS,Mode changed to MANUAL,2026-04-18T06:51:01.545,19
2026-04-18T06:51:29.237,USV-001,DISARM,2026-04-18T06:51:29.247,SUCCESS,DISARM successful,2026-04-18T06:51:29.277,40
2026-04-18T07:33:51.682,USV-001,ARM,2026-04-18T07:33:51.691,SUCCESS,ARM successful,2026-04-18T07:33:51.715,33
2026-04-18T07:34:07.928,USV-001,DISARM,2026-04-18T07:34:07.939,SUCCESS,DISARM successful,2026-04-18T07:34:07.976,48
2026-04-18T07:34:11.260,USV-001,ARM,2026-04-18T07:34:11.268,SUCCESS,ARM successful,2026-04-18T07:34:11.297,37
2026-04-18T07:34:22.077,USV-001,AUTO,2026-04-18T07:34:22.091,SUCCESS,Mode changed to AUTO,2026-04-18T07:34:22.103,26
2026-04-18T07:34:31.416,USV-001,HOLD,2026-04-18T07:34:31.426,SUCCESS,Mode changed to HOLD,2026-04-18T07:34:31.435,19
2026-04-18T07:34:33.733,USV-001,DISARM,2026-04-18T07:34:33.745,SUCCESS,DISARM successful,2026-04-18T07:34:33.776,43
2026-04-18T07:34:36.181,USV-001,AUTO,2026-04-18T07:34:36.192,SUCCESS,Mode changed to AUTO,2026-04-18T07:34:36.201,20
2026-04-18T07:34:38.750,USV-001,HOLD,2026-04-18T07:34:38.760,SUCCESS,Mode changed to HOLD,2026-04-18T07:34:38.768,18
2026-04-18T07:34:40.771,USV-001,LOITER,2026-04-18T07:34:40.780,SUCCESS,Mode changed to LOITER,2026-04-18T07:34:40.789,18
2026-04-18T07:34:42.675,USV-001,RTL,2026-04-18T07:34:42.685,SUCCESS,Mode changed to RTL,2026-04-18T07:34:42.697,22
2026-04-18T07:36:38.132,USV-001,ARM,2026-04-18T07:36:38.141,SUCCESS,ARM successful,2026-04-18T07:36:38.175,43
2026-04-18T07:39:24.503,USV-001,DISARM,2026-04-18T07:39:24.511,SUCCESS,DISARM successful,2026-04-18T07:39:24.534,31
2026-04-18T07:39:28.874,USV-001,ARM,2026-04-18T07:39:28.888,SUCCESS,ARM successful,2026-04-18T07:39:28.914,40
2026-04-18T07:55:02.474,USV-001,DISARM,2026-04-18T07:55:02.483,SUCCESS,DISARM successful,2026-04-18T07:55:02.499,25
2026-04-18T07:55:10.133,USV-001,MANUAL,2026-04-18T07:55:10.141,SUCCESS,Mode changed to MANUAL,2026-04-18T07:55:10.157,24
2026-04-18T07:55:18.874,USV-001,AUTO,2026-04-18T07:55:18.883,SUCCESS,Mode changed to AUTO,2026-04-18T07:55:18.895,21
