command_received_timestamp,vehicle_code,command,mavlink_sent_timestamp,execution_result,execution_message,command_response_timestamp,duration_ms
2026-04-12T12:58:03.903,USV-001,ARM,2026-04-12T12:58:03.908,SUCCESS,ARM successful,2026-04-12T12:58:03.958,55
2026-04-12T12:58:09.824,USV-001,DISARM,2026-04-12T12:58:09.828,SUCCESS,DISARM successful,2026-04-12T12:58:09.857,33
2026-04-12T13:10:05.700,USV-001,ARM,2026-04-12T13:10:05.714,SUCCESS,ARM successful,2026-04-12T13:10:05.749,49
2026-04-12T13:12:51.827,USV-001,DISARM,2026-04-12T13:12:51.838,SUCCESS,DISARM successful,2026-04-12T13:12:51.870,43
2026-04-12T13:15:24.395,USV-001,ARM,2026-04-12T13:15:24.411,SUCCESS,ARM successful,2026-04-12T13:15:24.693,298
