command_received_timestamp,vehicle_code,command,mavlink_sent_timestamp,execution_result,execution_message,command_response_timestamp,duration_ms
2026-04-13T19:21:11.114,USV-001,ARM,2026-04-13T19:21:11.123,SUCCESS,ARM successful,2026-04-13T19:21:11.171,57
2026-04-13T19:21:13.996,USV-001,DISARM,2026-04-13T19:21:14.007,SUCCESS,DISARM successful,2026-04-13T19:21:14.031,35
2026-04-13T19:24:25.572,USV-001,ARM,2026-04-13T19:24:25.582,SUCCESS,ARM successful,2026-04-13T19:24:25.606,34
2026-04-13T19:24:33.069,USV-001,MANUAL,2026-04-13T19:24:33.077,SUCCESS,Mode changed to MANUAL,2026-04-13T19:24:33.088,19
2026-04-13T19:24:42.548,USV-001,AUTO,2026-04-13T19:24:42.557,SUCCESS,Mode changed to AUTO,2026-04-13T19:24:42.569,21
2026-04-13T19:24:55.980,USV-001,AUTO,2026-04-13T19:24:55.988,SUCCESS,Mode changed to AUTO,2026-04-13T19:24:55.999,19
2026-04-13T19:25:00.982,USV-001,AUTO,2026-04-13T19:25:00.990,SUCCESS,Mode changed to AUTO,2026-04-13T19:25:01.001,19
2026-04-13T19:25:18.811,USV-001,DISARM,2026-04-13T19:25:18.823,SUCCESS,DISARM successful,2026-04-13T19:25:18.844,33
2026-04-13T19:25:34.896,USV-001,ARM,2026-04-13T19:25:34.906,SUCCESS,ARM successful,2026-04-13T19:25:34.926,30
